# TIPOS DE CAMBIO USD - VENTA (Bs./M.E.) | BCV Venezuela
# Páginas procesadas: [0, 1, 2]
# Total registros: 1446
# Generado: 2026-04-03 02:01:52
# Formato: FECHA_VALOR | TASA_VENTA | TRIMESTRE | HOJA_EXCEL
----------------------------------------------------------------------------------------------------
30/10/2020 |  506541.781400 | Año 2020, Trimestre IV | 29102020
02/11/2020 |  519082.413400 | Año 2020, Trimestre IV | 30102020
03/11/2020 |  515919.260800 | Año 2020, Trimestre IV | 02112020
04/11/2020 |  517231.574700 | Año 2020, Trimestre IV | 03112020
05/11/2020 |  518286.920700 | Año 2020, Trimestre IV | 04112020
06/11/2020 |  527480.299400 | Año 2020, Trimestre IV | 05112020
09/11/2020 |  535345.977200 | Año 2020, Trimestre IV | 06112020
10/11/2020 |  535719.251600 | Año 2020, Trimestre IV | 09112020
11/11/2020 |  548442.839000 | Año 2020, Trimestre IV | 10112020
12/11/2020 |  571622.158900 | Año 2020, Trimestre IV | 11112020
13/11/2020 |  607475.823500 | Año 2020, Trimestre IV | 12112020
16/11/2020 |  646322.881600 | Año 2020, Trimestre IV | 13112020
17/11/2020 |  666713.205600 | Año 2020, Trimestre IV | 16112020
18/11/2020 |  670975.429900 | Año 2020, Trimestre IV | 17112020
19/11/2020 |  681155.939900 | Año 2020, Trimestre IV | 18112020
20/11/2020 |  710701.521100 | Año 2020, Trimestre IV | 19112020
24/11/2020 |  782025.163900 | Año 2020, Trimestre IV | 20112020
25/11/2020 |  917739.520500 | Año 2020, Trimestre IV | 24112020
26/11/2020 |  925505.887000 | Año 2020, Trimestre IV | 25112020
27/11/2020 |  974184.262800 | Año 2020, Trimestre IV | 26112020
30/11/2020 | 1035887.027200 | Año 2020, Trimestre IV | 27112020
01/12/2020 | 1050811.975600 | Año 2020, Trimestre IV | 30112020
02/12/2020 | 1039923.603800 | Año 2020, Trimestre IV | 01122020
03/12/2020 | 1010404.149000 | Año 2020, Trimestre IV | 02122020
04/12/2020 | 1029051.920400 | Año 2020, Trimestre IV | 03122020
07/12/2020 | 1086140.715200 | Año 2020, Trimestre IV | 04122020
08/12/2020 | 1084295.289400 | Año 2020, Trimestre IV | 07122020
09/12/2020 | 1081303.542600 | Año 2020, Trimestre IV | 08122020
10/12/2020 | 1079923.207300 | Año 2020, Trimestre IV | 09122020
11/12/2020 | 1084350.917700 | Año 2020, Trimestre IV | 10122020
15/12/2020 | 1103443.685000 | Año 2020, Trimestre IV | 11122020
16/12/2020 | 1087525.527800 | Año 2020, Trimestre IV | 15122020
17/12/2020 | 1075442.164300 | Año 2020, Trimestre IV | 16122020
18/12/2020 | 1050531.336800 | Año 2020, Trimestre IV | 17122020
21/12/2020 | 1062380.477000 | Año 2020, Trimestre IV | 18122020
22/12/2020 | 1069360.330300 | Año 2020, Trimestre IV | 21122020
23/12/2020 | 1063464.904600 | Año 2020, Trimestre IV | 22122020
28/12/2020 | 1037851.251100 | Año 2020, Trimestre IV | 23122020
29/12/2020 | 1036631.017500 | Año 2020, Trimestre IV | 28122020
30/12/2020 | 1089058.073500 | Año 2020, Trimestre IV | 29122020
04/01/2021 | 1107198.583500 | Año 2020, Trimestre IV | 30122020
05/01/2021 | 1114769.093000 | Año 2021, Trimestre I | 04012021
06/01/2021 | 1174992.614600 | Año 2021, Trimestre I | 05012021
07/01/2021 | 1231206.113500 | Año 2021, Trimestre I | 06012021
08/01/2021 | 1317659.577300 | Año 2021, Trimestre I | 07012021
12/01/2021 | 1468241.149200 | Año 2021, Trimestre I | 08012021
13/01/2021 | 1504750.222900 | Año 2021, Trimestre I | 12012021
14/01/2021 | 1495567.570900 | Año 2021, Trimestre I | 13012021
15/01/2021 | 1500315.974900 | Año 2021, Trimestre I | 14012021
19/01/2021 | 1548933.315100 | Año 2021, Trimestre I | 15012021
20/01/2021 | 1555320.546300 | Año 2021, Trimestre I | 19012021
21/01/2021 | 1561382.127900 | Año 2021, Trimestre I | 20012021
22/01/2021 | 1651774.351000 | Año 2021, Trimestre I | 21012021
25/01/2021 | 1738760.996500 | Año 2021, Trimestre I | 22012021
26/01/2021 | 1732056.011100 | Año 2021, Trimestre I | 25012021
27/01/2021 | 1786690.258400 | Año 2021, Trimestre I | 26012021
28/01/2021 | 1823711.062400 | Año 2021, Trimestre I | 27012021
29/01/2021 | 1823627.319500 | Año 2021, Trimestre I | 28012021
01/02/2021 | 1821534.674500 | Año 2021, Trimestre I | 29012021
02/02/2021 | 1805260.652300 | Año 2021, Trimestre I | 01022021
03/02/2021 | 1790207.348700 | Año 2021, Trimestre I | 02022021
04/02/2021 | 1789925.213700 | Año 2021, Trimestre I | 03022021
05/02/2021 | 1828405.500400 | Año 2021, Trimestre I | 04022021
08/02/2021 | 1837423.460400 | Año 2021, Trimestre I | 05022021
09/02/2021 | 1812462.924100 | Año 2021, Trimestre I | 08022021
10/02/2021 | 1803816.622800 | Año 2021, Trimestre I | 09022021
11/02/2021 | 1788247.079500 | Año 2021, Trimestre I | 10022021
12/02/2021 | 1768156.573900 | Año 2021, Trimestre I | 11022021
17/02/2021 | 1728295.976700 | Año 2021, Trimestre I | 12022021
18/02/2021 | 1721287.100900 | Año 2021, Trimestre I | 17022021
19/02/2021 | 1720426.047500 | Año 2021, Trimestre I | 18022021
22/02/2021 | 1757608.776700 | Año 2021, Trimestre I | 19022021
23/02/2021 | 1803699.715600 | Año 2021, Trimestre I | 22022021
24/02/2021 | 1829671.794400 | Año 2021, Trimestre I | 23022021
25/02/2021 | 1872651.378100 | Año 2021, Trimestre I | 24022021
26/02/2021 | 1871361.134600 | Año 2021, Trimestre I | 25022021
01/03/2021 | 1865613.886600 | Año 2021, Trimestre I | 26022021
02/03/2021 | 1865857.997300 | Año 2021, Trimestre I | 01032021
03/03/2021 | 1863252.937200 | Año 2021, Trimestre I | 02032021
04/03/2021 | 1865046.287400 | Año 2021, Trimestre I | 03032021
05/03/2021 | 1874605.358700 | Año 2021, Trimestre I | 04032021
08/03/2021 | 1889184.908200 | Año 2021, Trimestre I | 05032021
09/03/2021 | 1888035.847400 | Año 2021, Trimestre I | 08032021
10/03/2021 | 1881868.739900 | Año 2021, Trimestre I | 09032021
11/03/2021 | 1874468.122100 | Año 2021, Trimestre I | 10032021
12/03/2021 | 1858754.101000 | Año 2021, Trimestre I | 11032021
15/03/2021 | 1848567.569900 | Año 2021, Trimestre I | 12032021
16/03/2021 | 1827284.792200 | Año 2021, Trimestre I | 15032021
17/03/2021 | 1822320.277800 | Año 2021, Trimestre I | 16032021
18/03/2021 | 1804479.660700 | Año 2021, Trimestre I | 17032021
22/03/2021 | 1804994.456200 | Año 2021, Trimestre I | 18032021
23/03/2021 | 1821810.808000 | Año 2021, Trimestre I | 22032021
24/03/2021 | 1827910.572900 | Año 2021, Trimestre I | 23032021
25/03/2021 | 1845928.659900 | Año 2021, Trimestre I | 24032021
26/03/2021 | 1852972.124200 | Año 2021, Trimestre I | 25032021
29/03/2021 | 1890076.744600 | Año 2021, Trimestre I | 26032021
30/03/2021 | 1931176.194800 | Año 2021, Trimestre I | 29032021
31/03/2021 | 1968064.225100 | Año 2021, Trimestre I | 30032021
05/04/2021 | 1987184.747800 | Año 2021, Trimestre I | 31032021
06/04/2021 | 2070854.967200 | Año 2021, Trimestre II | 05042021
07/04/2021 | 2078720.571000 | Año 2021, Trimestre II | 06042021
08/04/2021 | 2109981.396400 | Año 2021, Trimestre II | 07042021
09/04/2021 | 2142514.410000 | Año 2021, Trimestre II | 08042021
12/04/2021 | 2235823.806700 | Año 2021, Trimestre II | 09042021
13/04/2021 | 2290488.287900 | Año 2021, Trimestre II | 12042021
14/04/2021 | 2334983.548800 | Año 2021, Trimestre II | 13042021
15/04/2021 | 2315163.020300 | Año 2021, Trimestre II | 14042021
16/04/2021 | 2381793.647300 | Año 2021, Trimestre II | 15042021
20/04/2021 | 2363585.209100 | Año 2021, Trimestre II | 16042021
21/04/2021 | 2467460.698500 | Año 2021, Trimestre II | 20042021
22/04/2021 | 2518331.482500 | Año 2021, Trimestre II | 21042021
23/04/2021 | 2506329.914200 | Año 2021, Trimestre II | 22042021
26/04/2021 | 2647851.663600 | Año 2021, Trimestre II | 23042021
27/04/2021 | 2721326.123100 | Año 2021, Trimestre II | 26042021
28/04/2021 | 2688830.387400 | Año 2021, Trimestre II | 27042021
29/04/2021 | 2724717.520900 | Año 2021, Trimestre II | 28042021
30/04/2021 | 2746151.811200 | Año 2021, Trimestre II | 29042021
03/05/2021 | 2822874.482200 | Año 2021, Trimestre II | 30042021
04/05/2021 | 2796868.805600 | Año 2021, Trimestre II | 03052021
05/05/2021 | 2840459.112800 | Año 2021, Trimestre II | 04052021
06/05/2021 | 2866324.518900 | Año 2021, Trimestre II | 05052021
07/05/2021 | 2861988.424300 | Año 2021, Trimestre II | 06052021
10/05/2021 | 2847609.433300 | Año 2021, Trimestre II | 07052021
11/05/2021 | 2836569.637400 | Año 2021, Trimestre II | 10052021
12/05/2021 | 2824879.829400 | Año 2021, Trimestre II | 11052021
13/05/2021 | 2835035.065100 | Año 2021, Trimestre II | 12052021
14/05/2021 | 2909844.363300 | Año 2021, Trimestre II | 13052021
17/05/2021 | 2966678.955800 | Año 2021, Trimestre II | 14052021
18/05/2021 | 2931949.404000 | Año 2021, Trimestre II | 17052021
19/05/2021 | 2954844.360800 | Año 2021, Trimestre II | 18052021
20/05/2021 | 3026929.265200 | Año 2021, Trimestre II | 19052021
21/05/2021 | 3050025.838400 | Año 2021, Trimestre II | 20052021
25/05/2021 | 3045129.909600 | Año 2021, Trimestre II | 21052021
26/05/2021 | 3055549.996200 | Año 2021, Trimestre II | 25052021
27/05/2021 | 3070282.833500 | Año 2021, Trimestre II | 26052021
28/05/2021 | 3066706.029400 | Año 2021, Trimestre II | 27052021
31/05/2021 | 3100864.237400 | Año 2021, Trimestre II | 28052021
01/06/2021 | 3115766.526800 | Año 2021, Trimestre II | 31052021
02/06/2021 | 3115193.410300 | Año 2021, Trimestre II | 01062021
03/06/2021 | 3097326.753600 | Año 2021, Trimestre II | 02062021
04/06/2021 | 3101194.009000 | Año 2021, Trimestre II | 03062021
07/06/2021 | 3113917.350000 | Año 2021, Trimestre II | 04062021
08/06/2021 | 3111041.046300 | Año 2021, Trimestre II | 07062021
09/06/2021 | 3127700.608300 | Año 2021, Trimestre II | 08062021
10/06/2021 | 3123420.193800 | Año 2021, Trimestre II | 09062021
11/06/2021 | 3133641.887800 | Año 2021, Trimestre II | 10062021
15/06/2021 | 3120424.411900 | Año 2021, Trimestre II | 11062021
16/06/2021 | 3113042.578900 | Año 2021, Trimestre II | 15062021
17/06/2021 | 3105034.586700 | Año 2021, Trimestre II | 16062021
18/06/2021 | 3113807.175100 | Año 2021, Trimestre II | 17062021
21/06/2021 | 3138598.809600 | Año 2021, Trimestre II | 18062021
22/06/2021 | 3147297.126200 | Año 2021, Trimestre II | 21062021
23/06/2021 | 3178517.078600 | Año 2021, Trimestre II | 22062021
25/06/2021 | 3183413.509700 | Año 2021, Trimestre II | 23062021
29/06/2021 | 3196903.012500 | Año 2021, Trimestre II | 25062021
30/06/2021 | 3204079.516900 | Año 2021, Trimestre II | 29062021
01/07/2021 | 3220598.353200 | Año 2021, Trimestre II | 30062021
02/07/2021 | 3246320.899400 | Año 2021, Trimestre III | 01072021
06/07/2021 | 3241854.596700 | Año 2021, Trimestre III | 02072021
07/07/2021 | 3243708.706300 | Año 2021, Trimestre III | 06072021
08/07/2021 | 3247321.965900 | Año 2021, Trimestre III | 07072021
09/07/2021 | 3260677.850500 | Año 2021, Trimestre III | 08072021
12/07/2021 | 3275925.389200 | Año 2021, Trimestre III | 09072021
13/07/2021 | 3291083.865700 | Año 2021, Trimestre III | 12072021
14/07/2021 | 3321657.523500 | Año 2021, Trimestre III | 13072021
15/07/2021 | 3391651.911900 | Año 2021, Trimestre III | 14072021
16/07/2021 | 3443394.726100 | Año 2021, Trimestre III | 15072021
19/07/2021 | 3548283.849200 | Año 2021, Trimestre III | 16072021
20/07/2021 | 3618512.210500 | Año 2021, Trimestre III | 19072021
21/07/2021 | 3646930.995300 | Año 2021, Trimestre III | 20072021
22/07/2021 | 3712699.566100 | Año 2021, Trimestre III | 21072021
23/07/2021 | 3773693.215000 | Año 2021, Trimestre III | 22072021
26/07/2021 | 3784653.835300 | Año 2021, Trimestre III | 23072021
27/07/2021 | 3885813.040300 | Año 2021, Trimestre III | 26072021
28/07/2021 | 3988843.226100 | Año 2021, Trimestre III | 27072021
29/07/2021 | 4036633.952000 | Año 2021, Trimestre III | 28072021
30/07/2021 | 3983173.550800 | Año 2021, Trimestre III | 29072021
02/08/2021 | 4015645.758200 | Año 2021, Trimestre III | 30072021
03/08/2021 | 4018492.238900 | Año 2021, Trimestre III | 02082021
04/08/2021 | 4033104.536800 | Año 2021, Trimestre III | 03082021
05/08/2021 | 4036194.846900 | Año 2021, Trimestre III | 04082021
06/08/2021 | 4040784.731400 | Año 2021, Trimestre III | 05082021
09/08/2021 | 4068823.027400 | Año 2021, Trimestre III | 06082021
10/08/2021 | 4080378.077200 | Año 2021, Trimestre III | 09082021
11/08/2021 | 4094502.024200 | Año 2021, Trimestre III | 10082021
12/08/2021 | 4117054.644300 | Año 2021, Trimestre III | 11082021
13/08/2021 | 4113365.676300 | Año 2021, Trimestre III | 12082021
16/08/2021 | 4135488.086200 | Año 2021, Trimestre III | 13082021
17/08/2021 | 4110497.999000 | Año 2021, Trimestre III | 16082021
18/08/2021 | 4130164.856000 | Año 2021, Trimestre III | 17082021
19/08/2021 | 4085372.250100 | Año 2021, Trimestre III | 18082021
20/08/2021 | 4122223.381700 | Año 2021, Trimestre III | 19082021
23/08/2021 | 4123464.317300 | Año 2021, Trimestre III | 20082021
24/08/2021 | 4129660.916700 | Año 2021, Trimestre III | 23082021
25/08/2021 | 4121652.734800 | Año 2021, Trimestre III | 24082021
26/08/2021 | 4147300.515900 | Año 2021, Trimestre III | 25082021
27/08/2021 | 4139860.257900 | Año 2021, Trimestre III | 26082021
30/08/2021 | 4134298.048300 | Año 2021, Trimestre III | 27082021
31/08/2021 | 4144502.854600 | Año 2021, Trimestre III | 30082021
01/09/2021 | 4127024.225700 | Año 2021, Trimestre III | 31082021
02/09/2021 | 4100108.230400 | Año 2021, Trimestre III | 01092021
03/09/2021 | 4087136.424500 | Año 2021, Trimestre III | 02092021
06/09/2021 | 4058787.114700 | Año 2021, Trimestre III | 03092021
07/09/2021 | 4072866.122800 | Año 2021, Trimestre III | 06092021
08/09/2021 | 4071866.245900 | Año 2021, Trimestre III | 07092021
09/09/2021 | 4070427.704400 | Año 2021, Trimestre III | 08092021
10/09/2021 | 4084549.696500 | Año 2021, Trimestre III | 09092021
13/09/2021 | 4057528.651400 | Año 2021, Trimestre III | 10092021
14/09/2021 | 3996013.026000 | Año 2021, Trimestre III | 13092021
15/09/2021 | 4031654.310100 | Año 2021, Trimestre III | 14092021
16/09/2021 | 4023277.592700 | Año 2021, Trimestre III | 15092021
17/09/2021 | 4048613.395000 | Año 2021, Trimestre III | 16092021
20/09/2021 | 4041830.438700 | Año 2021, Trimestre III | 17092021
21/09/2021 | 4043797.677800 | Año 2021, Trimestre III | 20092021
22/09/2021 | 4026316.402400 | Año 2021, Trimestre III | 21092021
23/09/2021 | 4032128.566700 | Año 2021, Trimestre III | 22092021
24/09/2021 | 4040871.498900 | Año 2021, Trimestre III | 23092021
27/09/2021 | 4104217.989400 | Año 2021, Trimestre III | 24092021
28/09/2021 | 4142727.038700 | Año 2021, Trimestre III | 27092021
29/09/2021 | 4138617.560300 | Año 2021, Trimestre III | 28092021
04/10/2021 |       4.181782 | Año 2021, Trimestre III | 29092021
05/10/2021 |       4.175500 | Año 2021, Trimestre IV | 04102021
06/10/2021 |       4.194500 | Año 2021, Trimestre IV | 05102021
07/10/2021 |       4.165500 | Año 2021, Trimestre IV | 06102021
08/10/2021 |       4.155100 | Año 2021, Trimestre IV | 07102021
11/10/2021 |       4.164100 | Año 2021, Trimestre IV | 08102021
13/10/2021 |       4.163200 | Año 2021, Trimestre IV | 11102021
14/10/2021 |       4.181600 | Año 2021, Trimestre IV | 13102021
15/10/2021 |       4.161900 | Año 2021, Trimestre IV | 14102021
18/10/2021 |       4.139200 | Año 2021, Trimestre IV | 15102021
19/10/2021 |       4.151000 | Año 2021, Trimestre IV | 18102021
20/10/2021 |       4.156400 | Año 2021, Trimestre IV | 19102021
21/10/2021 |       4.174500 | Año 2021, Trimestre IV | 20102021
22/10/2021 |       4.211100 | Año 2021, Trimestre IV | 21102021
25/10/2021 |       4.238800 | Año 2021, Trimestre IV | 22102021
26/10/2021 |       4.272800 | Año 2021, Trimestre IV | 25102021
27/10/2021 |       4.294400 | Año 2021, Trimestre IV | 26102021
28/10/2021 |       4.324400 | Año 2021, Trimestre IV | 27102021
29/10/2021 |       4.388100 | Año 2021, Trimestre IV | 28102021
02/11/2021 |       4.377900 | Año 2021, Trimestre IV | 29102021
03/11/2021 |       4.409700 | Año 2021, Trimestre IV | 02112021
04/11/2021 |       4.438800 | Año 2021, Trimestre IV | 03112021
05/11/2021 |       4.423400 | Año 2021, Trimestre IV | 04112021
08/11/2021 |       4.445000 | Año 2021, Trimestre IV | 05112021
09/11/2021 |       4.437800 | Año 2021, Trimestre IV | 08112021
10/11/2021 |       4.450100 | Año 2021, Trimestre IV | 09112021
11/11/2021 |       4.479800 | Año 2021, Trimestre IV | 10112021
12/11/2021 |       4.472400 | Año 2021, Trimestre IV | 11112021
15/11/2021 |       4.480800 | Año 2021, Trimestre IV | 12112021
16/11/2021 |       4.488300 | Año 2021, Trimestre IV | 15112021
